name,knot_sig,dt_code,structure
18ns_01,sabcdefghijklmcnilopmhgfednbqrkjaqporxn1uXm7Nz+DM,cLqPonmRkdgBifejaH,"Trefoil[-1/6]"
18ns_02,sabcdefghijklhamilnocdefgbpqkjrponqrmRYmRYm-zM-zM,lPjMNOIqKcGaFDERhB,"Trefoil[5/6]"
18ns_03,sabcdecfghidejklamnopqrgfblpqkjihronmxAsLMw9W4pm8,kjfiNRcQObaEplDHmG,"Trefoil[-9/4]"
18ns_04,sabcdefgaheijklminofhpcqnorbpdmlkjqrgNPAgZk7V33--,oQMLBiApeNgDCHrJkF,"Trefoil[9/5]"
18ns_05,sabcdefbghidcgjklmnohipqajopefqrklmnrNAutnv--d--a,gpIrnodJlCMQhaefKb,"Trefoil[-5/9]"
18ns_06,sabcdefghijklhamilnoefgdcbpqkjrponqrmRYmRYm-zM-zM,lPjNOMIqKcGaFEDRhB,"Trefoil[3/10]"
18ns_07,sabcdefghijklmcnilopmdehgfnbqrkjaqporxn1uXm7Nz+DM,cLqPmonRkdgBiefjaH,"Trefoil[-7/10]"
18ns_08,sabcdefbghijkgalhkmnodefcopqjirpnmqrlRYmRYm9yM9yM,lPjFNMIqKcGaODERhB,"Trefoil[11/4]"
18ns_09,sabcdecfghidejklmnophijbqrpkaqfgrmnolxAul1u--d--d,eHqmlPjfBOgrcdIKan,"Trefoil[-11/7]"
18ns_10,sabcdefghdijklamjnokmpgfehcqnorbpiqrlxLzwXm7---9-,lQhAonmbKdGrIpefjC,"Trefoil[7/11]"
18ns_11,sabcdbefghcdijklmnaopqjihgrpnmlkqrfeolnvtttFyGhgM,jEpnHrqBmaLOidKcgf,"Trefoil[-9/2]"
18ns_12,sabcdecfghibjkfilmnjopedpokqmranqghlrxmRvzgB-3z+V,dQhrIoebKmGCApfnjL,"Trefoil[9/7]"
18ns_13,sabcdecfghijkblgjmnkfopdepolqrmnaqhirxzMvXmd--d8-,cGqIndjBlPhRfoemaK,"Trefoil[-7/9]"
18ns_14,sabcdefghijkclgjmnkfopedpolbqrihaqnmrxtnvXm7zMzCM,cKqPnlRjdfBhoemiaG,"Trefoil[-5/12]"
18ns_15,sabcdecbfghijklhamilnogdefpqkjrponqrmRkZSYm-Nz+zM,kPiOMHqJcFaNDLERgB,"Trefoil[7/12]"
18ns_16,sabcdecfghibjkfilmnopjedkqmrapqghlrnoxmlxMrB-x+-l,eQirnJpfbLoHCdAgkM,"Trefoil[11/3]"
18ns_17,sabcdefghijklbcmknolmhpfgpedqrnoaqijrRAMPYmF+-h+-,cGqIPNMBlDhRjOFEaK,"Trefoil[-3/11]"
18ns_18,sabcdecfghidejklmnlopgfbjqrpakqihrnmoxAuPvwdpN9yJ,eqImnPjfOBgadlrHKc,"Trefoil[-11/8]"
18ns_19,sabcdbefghcdijklmknopghijnqraefpoqlmrlnvwvw--H--N,ehNlrGJaoFpmdqBikc,"Trefoil[-13/5]"
18ns_20,sabcdefgehijklamjnokmpqigfhdnorbpqcrlRQzMYmNX-V5-,lQhAjOPbKdMrIGFNEC,"Trefoil[5/13]"
18ns_21,sabcdecfghijkgalhkmnobfdeopqjirpnmqrlRYmRYm9yMXyM,lPjFONIqKcGaDEMRhB,"Trefoil[13/8]"
18ns_22,sabcdefghijklhamilnogfedcbpqkjrponqrmRYmRYm-zM-zM,lPjONMIqKcGaFEDRhB,"Trefoil[1/6]"
18ns_23,sabcdefghijklmcnilopmdefghnbqrkjaqporxn1uXm7Nz+DM,cLqPmnoRkdgBiefjaH,"Trefoil[-5/6]"
18ns_24,sabcdefbghijkgalhkmnofedcopqjirpnmqrlRYmRYm9yM9yM,lPjFNMIqKcGaOEDRhB,"Trefoil[9/4]"
18ns_25,sabcdecfghidejklmnophijbqrpkaqfgronmlxAul1u--d--d,eHqmlPjfBOgrdcIKan,"Trefoil[-9/5]"
18ns_26,sabcdefbghijklamjnokmgcdefpqnorphiqrlRMzQYm-9-7--,lQhAMNIbKpGrOEFDjC,"Trefoil[5/9]"
18ns_27,sabcdefghijklmcnilopmhefgdnbqrkjaqporxn1uXm7Nz+DM,cLqPonmRkdgBiefjaH,"Trefoil[-3/10]"
18ns_28,sabcdefghijklhamilnoedcfgbpqkjrponqrmRYmRYm-zM-zM,lPjNMOIqKcGaFDERhB,"Trefoil[7/10]"
18ns_29,sabcdecfghibjklmnopqarmnqghifpolkdejrxQMvQgdWZgWZ,iprMLQOkaNgjCDHFbE,"Trefoil[-11/4]"
18ns_30,sabcdefgaheijklminofhpcqnorbpdklmjqrgNPAgZk7V33--,oQMLBiApeNgCDHrJkF,"Trefoil[11/7]"
18ns_31,sabcdefbghidcgjklmnohipqajopefqrknmlrNAutnv--d--a,gpIrnodJlCMQhafeKb,"Trefoil[-7/11]"
18ns_32,sabcdbefghieajfiklmnodconmpqhgrplkqrjRmZQYmnMzmyM,mPkGFNDJqLcHaOERiB,"Trefoil[9/2]"
18ns_33,sabcdecfghidejklmnhijbopnkaofgpqrmlrqxA0snv--Z--Z,fIqemcPkgBOhrdJLan,"Trefoil[-9/7]"
18ns_34,sabcdecbfghijkalimnjlfodeopqmnrpghqrkRMzQYm-9-7--,lQhAFNIbKpGrOEMDjC,"Trefoil[7/9]"
18ns_35,sabcdefghijfakgjlmenodconbpqihrpmlqrkRmZQYmFM5mzM,mPkOFNDJqLcHaGERiB,"Trefoil[5/12]"
18ns_36,sabcdefdcghijklmnbilopmhefgnqrkjaqporx1mtXm9FM5BM,cMqKfodnRlPhBjegaI,"Trefoil[-7/12]"
18ns_37,sabcdbefghcdijklaefmnijopqmghnqrlkoprlnvwMv--5--5,knGqjBoErdhMPafLci,"Trefoil[-11/3]"
18ns_38,sabcdefdghijklamjnokmphgefcqnorbpiqrlxLzwXm75-N9-,lQhApnmbKdGrIofejC,"Trefoil[3/11]"
18ns_39,sabcdecfghijkgalhkmnobedfopqjirpnmqrlRYmRYmzyMzyM,lPjFNOIqKcGaDEMRhB,"Trefoil[11/8]"
18ns_40,sabcdbefghijakfljmnokecdlgpqmnrphiqroRyMlntF9-6+F,mPrIANbjClQhdOFEgK,"Trefoil[13/5]"
