name,knot_sig,dt_code,structure
17ns_01,rabcdefgaheijfklmnhocpijqbodpqgklmnNz0Xmf7-H9-a,nPhlmAobKfGqdeIjC,"Trefoil[5]"
17ns_02,rabcdefghijkglmhknofedcblmpqnoapijqRzMQmd-----p,cGpNMLjBfOhQEDIaK,"Trefoil[-1/5]"
17ns_03,rabcdecfghidejklmnogfbjpqoakpihqlmnxAuALfdpFp2o,epIlmOjfNBgadqHKc,"Trefoil[-5/4]"
17ns_04,rabcdbefghcdijklmnoghijmpqaefonplkqlnLvLf-----p,ehMlqGJanFodpBikc,"Trefoil[-7/3]"
17ns_05,rabcdefghijkalimnjloefgdcpmnqbohpqkxzMvmdd+-b-p,lPhAnombKdGqIfejC,"Trefoil[3/7]"
17ns_06,rabcdefbghijkgalhkmncfedopjiqonmpqlRYmRmdbyMbMj,kOiLMHpJcFaNEDQgB,"Trefoil[7/4]"
17ns_07,rabcdbefghcdijklmihgnoaplkqnfeoqjmplnvtZeHN-5zo,gnEjQmaILdpHobfkC,"Trefoil[-7/2]"
17ns_08,rabcdefdcghijbklgjmnokeflpnqaophimqxXSwMbd8FN-l,dPiqJgoebLnHCAfkM,"Trefoil[7/5]"
17ns_09,rabcdefghijbckilmjkfnoedonpqlmapghqRMzQmd---z+p,cFpHNLBkDgQiOEMaJ,"Trefoil[-5/7]"
17ns_10,rabcdefbghcfijaklmnoedpnjiophgmqklqZm1mtfNzYzMa,kjEmGqCobaiNdPhLf,"Trefoil[-3/8]"
17ns_11,rabcdecfghijkgalhkmnedfbopjiqonmpqlRYmRmdNzMzMj,kOiMNHpJcFaEDLQgB,"Trefoil[5/8]"
17ns_12,rabcdbefghcdijklaefmnopijqmghnopqkllnvAMg-----p,jmGHpBnCEqLOafKdi,"Trefoil[-5]"
17ns_13,rabcdefghijkalimnjlogfedcpmnqbohpqkxzMvmdd+-b-p,lPhAonmbKdGqIfejC,"Trefoil[1/5]"
17ns_14,rabcdefbghijkgalhkmncdefopjiqonmpqlRYmRmdbyMbMj,kOiLMHpJcFaNDEQgB,"Trefoil[5/4]"
17ns_15,rabcdefgaheijfklmnhocpijqbodpqgknmlNz0Xmf7-H9-a,nPhlmAobKfGqedIjC,"Trefoil[7/3]"
17ns_16,rabcdefghijkglmhknodefcblmpqnoapijqRzMQmd-----p,cGpNLMjBfOhQEDIaK,"Trefoil[-3/7]"
17ns_17,rabcdecfghidejklmnogfbjpqoakpihqnmlxAuALfdpFp2o,epImlOjfNBgadqHKc,"Trefoil[-7/4]"
17ns_18,rabcdbefghieajfiklmncdnmophgqolkpqjRmZQmdbMzaMj,lOjFMDIpKcGaNEQhB,"Trefoil[7/2]"
17ns_19,rabcdecbfghijkglmhknodeflmpqnoapijqRMzQmd-----p,cHpFMDNkBgOiQEJaL,"Trefoil[-7/5]"
17ns_20,rabcdefgedhijkalimnjlogfcpmnqbohpqkxLzwmdB+-h-p,kPgAnlbJdFqHoemiC,"Trefoil[5/7]"
17ns_21,rabcdefghbeijfaklmgnodcpnjiophmqklqNzuMzfnZYmZa,kjnGlCpEbaiOdQhMf,"Trefoil[3/8]"
17ns_22,rabcdecfghijklminojmfbedlkpqhgaponqRYmRmdNzMhMj,cKpMNDQjOlBhFEIaG,"Trefoil[-5/8]"
17ns_23,rabcdefbcdghijklminojmeflkpqhgaponqRkZSmdbGzgMj,cLpFGNDQkOmBiEJaH,"Trefoil[A(-1/2,-1/3)]"
17ns_24,rabcdbefcdghijkgalhkmnfeopjiqonmpqlllZ0mdFMzgMj,jOhmGpIcEaLNdKQfB,"Trefoil[A(-1/2,2/3)]"
17ns_25,rabcdbefghijagklmnfeopqknocdjipmlqhRm7mlcFMrMNi,lFJOgKcMQeBpNHDaI,"Trefoil[A(-1/2,1/3)]"
17ns_26,rabcdbefghijagklhmniopfeqolkpqcdjnmRmtmZgFM5M5n,lHpkgOiBeMQcNJFaD,"Trefoil[A(-1/2,-2/3)]"
17ns_27,rabcdbefcdghijkgalhkmnfeopjiqonmpqlRkZSmd-NzEMj,jOhMGpIcEaLNDKQfB,"Trefoil[A(1/2,2/3)]"
17ns_28,rabcdefbcdghijkgalhkmnefopjiqonmpqlRkZSmdbGzgMj,jOhLGpIcEaMNDKQfB,"Trefoil[A(1/2,1/3)]"
17ns_29,rabcdefghiajgkldcmihnlopknmbqfpoeqjNvgZkddEWdpm,mpFnqHkBDLgOaIcJe,"Fig8[1]"
